problem_name,constructive_heuristic,perturbative_heuristic,best_cost,average_cost,worst_cost
bier127.tsp,MSTSimple,NodeSwap,145029.27,146343.32,148881.37
bier127.tsp,MSTSimple,NodeShift,134447.55,139418.48,143545.57
ch130.tsp,NearestNeighbour,---,7428.43,7695.65,8644.39
ch130.tsp,NearestNeighbour,TwoOpt,6432.02,6591.80,6801.52
ch130.tsp,NearestNeighbour,NodeSwap,6939.16,7304.66,7725.83
ch130.tsp,NearestNeighbour,NodeShift,6690.69,7143.58,7667.89
ch130.tsp,SemiGreedyNearestNeighbour,---,11229.70,12425.19,13106.09
ch130.tsp,SemiGreedyNearestNeighbour,TwoOpt,6438.27,6662.71,6923.74
ch130.tsp,SemiGreedyNearestNeighbour,NodeSwap,8160.03,8564.00,9068.84
ch130.tsp,SemiGreedyNearestNeighbour,NodeShift,7487.31,8006.03,8865.57
ch130.tsp,CheapestInsertion,---,7085.89,7184.50,7305.53
ch130.tsp,CheapestInsertion,TwoOpt,6611.30,6693.36,6783.10
ch130.tsp,CheapestInsertion,NodeSwap,6606.72,6740.73,6856.77
ch130.tsp,CheapestInsertion,NodeShift,6303.30,6570.95,6737.75
ch130.tsp,SemiGreedyCheapestInsertion,---,7505.73,7938.92,8256.33
ch130.tsp,SemiGreedyCheapestInsertion,TwoOpt,6525.28,6695.43,6923.81
ch130.tsp,SemiGreedyCheapestInsertion,NodeSwap,6871.09,7138.90,7472.48
ch130.tsp,SemiGreedyCheapestInsertion,NodeShift,6581.49,6809.64,7006.57
ch130.tsp,RandomInsertion,---,6481.72,6659.00,6837.29
ch130.tsp,RandomInsertion,TwoOpt,6336.33,6513.81,6630.33
ch130.tsp,RandomInsertion,NodeSwap,6453.06,6667.40,6987.67
ch130.tsp,RandomInsertion,NodeShift,6308.33,6482.89,6616.03
ch130.tsp,MSTSimple,---,7797.85,8056.85,8159.69
ch130.tsp,MSTSimple,TwoOpt,6476.70,6603.98,6727.59
ch130.tsp,MSTSimple,NodeSwap,7321.75,7543.91,7845.62
ch130.tsp,MSTSimple,NodeShift,6898.35,7103.76,7213.61
ch150.tsp,NearestNeighbour,---,7384.92,7624.96,7925.01
ch150.tsp,NearestNeighbour,TwoOpt,6735.07,6879.62,7104.48
ch150.tsp,NearestNeighbour,NodeSwap,7059.50,7436.11,7860.17
ch150.tsp,NearestNeighbour,NodeShift,6867.98,7157.08,7419.24
ch150.tsp,SemiGreedyNearestNeighbour,---,12634.24,13453.78,14600.31
ch150.tsp,SemiGreedyNearestNeighbour,TwoOpt,6886.62,7243.68,7397.21
ch150.tsp,SemiGreedyNearestNeighbour,NodeSwap,8367.88,9069.79,9861.14
ch150.tsp,SemiGreedyNearestNeighbour,NodeShift,8158.09,8510.67,9504.16
ch150.tsp,CheapestInsertion,---,7687.93,7917.46,8142.82
ch150.tsp,CheapestInsertion,TwoOpt,6960.90,7174.35,7392.08
ch150.tsp,CheapestInsertion,NodeSwap,7451.23,7601.83,7811.29
ch150.tsp,CheapestInsertion,NodeShift,6871.92,7026.10,7093.44
ch150.tsp,SemiGreedyCheapestInsertion,---,8244.48,8564.42,8893.51
ch150.tsp,SemiGreedyCheapestInsertion,TwoOpt,6898.83,7279.63,7528.12
ch150.tsp,SemiGreedyCheapestInsertion,NodeSwap,7223.43,7682.44,8065.34
ch150.tsp,SemiGreedyCheapestInsertion,NodeShift,6963.86,7299.03,7561.87
ch150.tsp,RandomInsertion,---,7082.13,7276.37,7545.55
ch150.tsp,RandomInsertion,TwoOpt,7111.68,7189.74,7292.27
ch150.tsp,RandomInsertion,NodeSwap,7003.92,7282.59,7468.97
ch150.tsp,RandomInsertion,NodeShift,6734.64,6959.95,7190.74
ch150.tsp,MSTSimple,---,8401.18,8542.69,8713.17
ch150.tsp,MSTSimple,TwoOpt,6781.09,6987.88,7196.60
ch150.tsp,MSTSimple,NodeSwap,7650.05,7874.02,8038.39
ch150.tsp,MSTSimple,NodeShift,7223.16,7375.78,7624.24
eil101.tsp,NearestNeighbour,---,754.52,784.55,825.24
eil101.tsp,NearestNeighbour,TwoOpt,674.09,683.48,695.07
