problem_name,constructive_heuristic,perturbative_heuristic,best_cost,average_cost,worst_cost
bier127.tsp,SemiGreedyRandomInsertion,NodeShift,130133.82,136865.81,141980.46
bier127.tsp,MSTSimple,---,157160.51,158484.65,159571.17
bier127.tsp,MSTSimple,TwoOpt,122436.29,127605.21,137586.17
bier127.tsp,MSTSimple,NodeSwap,145380.08,147237.93,148544.27
bier127.tsp,MSTSimple,NodeShift,136771.83,138923.84,141676.49
ch130.tsp,NearestNeighbour,---,7422.62,7607.57,8003.97
ch130.tsp,NearestNeighbour,TwoOpt,6502.08,6655.52,6852.19
ch130.tsp,NearestNeighbour,NodeSwap,6934.93,7429.02,8141.64
ch130.tsp,NearestNeighbour,NodeShift,6872.16,7063.69,7348.20
ch130.tsp,SemiGreedyNearestNeighbour,---,11630.78,12192.25,13089.44
ch130.tsp,SemiGreedyNearestNeighbour,TwoOpt,6399.27,6597.58,6842.38
ch130.tsp,SemiGreedyNearestNeighbour,NodeSwap,7994.42,8764.75,9174.48
ch130.tsp,SemiGreedyNearestNeighbour,NodeShift,7335.06,8038.20,8520.32
ch130.tsp,CheapestInsertion,---,6929.62,7202.44,7296.88
ch130.tsp,CheapestInsertion,TwoOpt,6593.54,6657.84,6840.81
ch130.tsp,CheapestInsertion,NodeSwap,6681.71,6835.61,7035.79
ch130.tsp,CheapestInsertion,NodeShift,6585.60,6690.63,6760.93
ch130.tsp,SemiGreedyCheapestInsertion,---,7682.03,7845.82,8336.11
ch130.tsp,SemiGreedyCheapestInsertion,TwoOpt,6466.57,6741.38,7051.94
ch130.tsp,SemiGreedyCheapestInsertion,NodeSwap,6876.60,7176.99,7345.36
ch130.tsp,SemiGreedyCheapestInsertion,NodeShift,6514.91,6730.91,6867.42
ch130.tsp,SemiGreedyRandomInsertion,---,9511.60,9754.26,10100.54
ch130.tsp,SemiGreedyRandomInsertion,TwoOpt,6501.96,6698.23,6856.56
ch130.tsp,SemiGreedyRandomInsertion,NodeSwap,7374.16,7718.01,8109.52
ch130.tsp,SemiGreedyRandomInsertion,NodeShift,6714.43,7067.80,7455.55
ch130.tsp,MSTSimple,---,7945.05,8097.59,8227.77
ch130.tsp,MSTSimple,TwoOpt,6496.83,6653.64,6856.55
ch130.tsp,MSTSimple,NodeSwap,7265.73,7546.53,7731.71
ch130.tsp,MSTSimple,NodeShift,6901.44,7129.80,7230.11
ch150.tsp,NearestNeighbour,---,7448.31,7745.42,8135.16
ch150.tsp,NearestNeighbour,TwoOpt,6783.38,6888.31,7089.63
ch150.tsp,NearestNeighbour,NodeSwap,6949.85,7647.07,8281.47
ch150.tsp,NearestNeighbour,NodeShift,6835.58,7194.93,7493.23
ch150.tsp,SemiGreedyNearestNeighbour,---,12286.53,13382.80,14843.10
ch150.tsp,SemiGreedyNearestNeighbour,TwoOpt,6905.41,7238.64,7787.07
ch150.tsp,SemiGreedyNearestNeighbour,NodeSwap,8389.12,8787.76,9429.35
ch150.tsp,SemiGreedyNearestNeighbour,NodeShift,8059.72,8475.18,9075.92
ch150.tsp,CheapestInsertion,---,7706.89,8045.01,8260.99
ch150.tsp,CheapestInsertion,TwoOpt,7049.88,7207.06,7539.00
ch150.tsp,CheapestInsertion,NodeSwap,7533.00,7720.26,8011.08
ch150.tsp,CheapestInsertion,NodeShift,6871.92,7058.40,7195.16
