problem_name,constructive_heuristic,perturbative_heuristic,best_cost,average_cost,worst_cost
ch130.tsp,SemiGreedyNearestNeighbour,NodeSwap,7742.93,8441.34,9380.53
ch130.tsp,SemiGreedyNearestNeighbour,NodeShift,7481.81,8000.57,8494.74
ch130.tsp,CheapestInsertion,---,7007.81,7127.18,7274.99
ch130.tsp,CheapestInsertion,TwoOpt,6651.99,6714.61,6840.81
ch130.tsp,CheapestInsertion,NodeSwap,6606.72,6785.62,7056.05
ch130.tsp,CheapestInsertion,NodeShift,6303.30,6584.99,6845.54
ch130.tsp,SemiGreedyCheapestInsertion,---,7276.53,7759.21,8202.86
ch130.tsp,SemiGreedyCheapestInsertion,TwoOpt,6669.28,6760.00,6888.08
ch130.tsp,SemiGreedyCheapestInsertion,NodeSwap,6995.30,7148.54,7367.92
ch130.tsp,SemiGreedyCheapestInsertion,NodeShift,6578.76,6795.27,7009.94
ch130.tsp,SemiGreedyRandomInsertion,---,9318.35,9539.73,10044.97
ch130.tsp,SemiGreedyRandomInsertion,TwoOpt,6310.00,6626.59,6837.59
ch130.tsp,SemiGreedyRandomInsertion,NodeSwap,7618.34,8002.90,8602.68
ch130.tsp,SemiGreedyRandomInsertion,NodeShift,6727.23,7124.62,7438.86
ch130.tsp,MSTSimple,---,7732.05,7980.49,8198.94
ch130.tsp,MSTSimple,TwoOpt,6369.92,6671.95,6881.62
ch130.tsp,MSTSimple,NodeSwap,7249.10,7465.80,7611.10
ch130.tsp,MSTSimple,NodeShift,6901.44,7095.81,7210.25
ch150.tsp,NearestNeighbour,---,7092.71,7665.14,8451.16
ch150.tsp,NearestNeighbour,TwoOpt,6728.55,6861.49,7044.43
ch150.tsp,NearestNeighbour,NodeSwap,6923.70,7345.80,7649.62
ch150.tsp,NearestNeighbour,NodeShift,6915.03,7226.11,7524.26
ch150.tsp,SemiGreedyNearestNeighbour,---,11825.11,13306.96,14193.06
ch150.tsp,SemiGreedyNearestNeighbour,TwoOpt,7087.05,7348.92,7607.15
ch150.tsp,SemiGreedyNearestNeighbour,NodeSwap,8219.11,8866.22,9290.30
ch150.tsp,SemiGreedyNearestNeighbour,NodeShift,8263.49,8570.52,9026.05
ch150.tsp,CheapestInsertion,---,7770.17,7936.29,8064.85
ch150.tsp,CheapestInsertion,TwoOpt,7009.08,7253.00,7546.83
ch150.tsp,CheapestInsertion,NodeSwap,7467.07,7717.65,8015.76
ch150.tsp,CheapestInsertion,NodeShift,6870.11,7040.89,7181.72
ch150.tsp,SemiGreedyCheapestInsertion,---,8103.43,8449.84,8758.21
ch150.tsp,SemiGreedyCheapestInsertion,TwoOpt,6909.31,7182.65,7395.87
ch150.tsp,SemiGreedyCheapestInsertion,NodeSwap,7518.87,7814.36,8157.50
ch150.tsp,SemiGreedyCheapestInsertion,NodeShift,7097.43,7305.91,7497.82
ch150.tsp,SemiGreedyRandomInsertion,---,10175.45,10502.80,10791.36
ch150.tsp,SemiGreedyRandomInsertion,TwoOpt,7025.42,7281.87,7571.93
ch150.tsp,SemiGreedyRandomInsertion,NodeSwap,8169.26,8518.73,9051.05
ch150.tsp,SemiGreedyRandomInsertion,NodeShift,7287.64,7672.00,8146.22
ch150.tsp,MSTSimple,---,8410.33,8521.50,8706.57
ch150.tsp,MSTSimple,TwoOpt,6837.79,6977.55,7118.84
ch150.tsp,MSTSimple,NodeSwap,7722.43,7814.33,7936.55
ch150.tsp,MSTSimple,NodeShift,7185.09,7438.63,7616.99
eil101.tsp,NearestNeighbour,---,748.88,789.20,832.00
eil101.tsp,NearestNeighbour,TwoOpt,669.76,680.19,688.71
eil101.tsp,NearestNeighbour,NodeSwap,720.94,741.71,766.71
eil101.tsp,NearestNeighbour,NodeShift,678.17,712.63,768.64
eil101.tsp,SemiGreedyNearestNeighbour,---,1093.56,1168.38,1345.23
eil101.tsp,SemiGreedyNearestNeighbour,TwoOpt,679.63,696.21,711.02
eil101.tsp,SemiGreedyNearestNeighbour,NodeSwap,768.18,828.21,869.63
eil101.tsp,SemiGreedyNearestNeighbour,NodeShift,710.57,749.71,783.07
eil101.tsp,CheapestInsertion,---,706.19,725.62,737.36
eil101.tsp,CheapestInsertion,TwoOpt,685.06,698.86,717.77
eil101.tsp,CheapestInsertion,NodeSwap,689.19,702.43,720.67
eil101.tsp,CheapestInsertion,NodeShift,667.81,680.92,694.82
eil101.tsp,SemiGreedyCheapestInsertion,---,746.27,764.80,781.22
eil101.tsp,SemiGreedyCheapestInsertion,TwoOpt,672.81,689.13,712.57
eil101.tsp,SemiGreedyCheapestInsertion,NodeSwap,697.72,714.10,729.68
