problem_name,constructive_heuristic,perturbative_heuristic,best_cost,average_cost,worst_cost
a280.tsp,NearestNeighbour,---,3181.59,3351.35,3527.52
a280.tsp,NearestNeighbour,TwoOpt,2729.72,2809.94,2914.26
a280.tsp,NearestNeighbour,NodeSwap,3030.23,3177.11,3408.34
a280.tsp,NearestNeighbour,NodeShift,2899.36,3020.29,3183.06
a280.tsp,SemiGreedyNearestNeighbour,---,5174.65,5498.33,5847.09
a280.tsp,SemiGreedyNearestNeighbour,TwoOpt,2834.67,2929.63,3024.76
a280.tsp,SemiGreedyNearestNeighbour,NodeSwap,3575.18,3739.85,3999.24
a280.tsp,SemiGreedyNearestNeighbour,NodeShift,3167.93,3402.05,3568.47
a280.tsp,CheapestInsertion,---,3013.30,3072.03,3201.28
a280.tsp,CheapestInsertion,TwoOpt,2879.51,2919.10,2976.73
a280.tsp,CheapestInsertion,NodeSwap,2993.87,3090.86,3143.77
a280.tsp,CheapestInsertion,NodeShift,2836.08,2878.99,2930.54
a280.tsp,SemiGreedyCheapestInsertion,---,3290.42,3432.69,3573.10
a280.tsp,SemiGreedyCheapestInsertion,TwoOpt,2859.37,2903.31,2943.58
a280.tsp,SemiGreedyCheapestInsertion,NodeSwap,2994.61,3142.91,3238.57
a280.tsp,SemiGreedyCheapestInsertion,NodeShift,2877.82,2955.01,3010.55
a280.tsp,SemiGreedyRandomInsertion,---,4263.77,4344.95,4436.99
a280.tsp,SemiGreedyRandomInsertion,TwoOpt,2821.14,2985.98,3097.99
a280.tsp,SemiGreedyRandomInsertion,NodeSwap,3259.69,3446.03,3548.46
a280.tsp,SemiGreedyRandomInsertion,NodeShift,2979.47,3107.17,3225.67
a280.tsp,MSTSimple,---,3442.44,3605.43,3691.92
a280.tsp,MSTSimple,TwoOpt,2820.41,2881.71,2947.08
a280.tsp,MSTSimple,NodeSwap,3284.51,3440.61,3523.94
a280.tsp,MSTSimple,NodeShift,2999.37,3023.64,3127.09
berlin52.tsp,NearestNeighbour,---,8997.00,9316.93,9792.14
berlin52.tsp,NearestNeighbour,TwoOpt,7795.27,8121.23,8326.36
berlin52.tsp,NearestNeighbour,NodeSwap,8089.45,8970.39,9964.83
berlin52.tsp,NearestNeighbour,NodeShift,8082.97,8329.00,8874.85
berlin52.tsp,SemiGreedyNearestNeighbour,---,12193.25,14814.06,17179.34
berlin52.tsp,SemiGreedyNearestNeighbour,TwoOpt,7831.34,8258.94,8954.47
berlin52.tsp,SemiGreedyNearestNeighbour,NodeSwap,9008.25,9680.46,10290.51
berlin52.tsp,SemiGreedyNearestNeighbour,NodeShift,8114.37,9093.77,9679.34
berlin52.tsp,CheapestInsertion,---,8797.45,9005.23,9216.76
berlin52.tsp,CheapestInsertion,TwoOpt,8337.88,8566.15,8814.92
berlin52.tsp,CheapestInsertion,NodeSwap,8676.38,8854.56,8963.22
berlin52.tsp,CheapestInsertion,NodeShift,8161.59,8406.34,8483.52
berlin52.tsp,SemiGreedyCheapestInsertion,---,9244.44,9745.59,10092.94
berlin52.tsp,SemiGreedyCheapestInsertion,TwoOpt,8086.92,8386.96,8682.64
berlin52.tsp,SemiGreedyCheapestInsertion,NodeSwap,8219.93,8681.32,9392.67
berlin52.tsp,SemiGreedyCheapestInsertion,NodeShift,8083.61,8444.75,8636.31
berlin52.tsp,SemiGreedyRandomInsertion,---,10854.22,11536.22,12336.40
berlin52.tsp,SemiGreedyRandomInsertion,TwoOpt,8025.49,8338.37,8837.58
berlin52.tsp,SemiGreedyRandomInsertion,NodeSwap,8620.34,9129.53,9673.67
berlin52.tsp,SemiGreedyRandomInsertion,NodeShift,8164.84,8527.83,9150.23
berlin52.tsp,MSTSimple,---,9590.32,9982.17,10197.26
berlin52.tsp,MSTSimple,TwoOpt,7598.44,8102.42,8635.79
berlin52.tsp,MSTSimple,NodeSwap,8633.72,9032.96,9435.34
berlin52.tsp,MSTSimple,NodeShift,7797.28,8292.71,8478.61
bier127.tsp,NearestNeighbour,---,138955.34,146918.83,152143.34
bier127.tsp,NearestNeighbour,TwoOpt,123973.28,126772.11,130555.03
bier127.tsp,NearestNeighbour,NodeSwap,129044.37,136213.76,140978.01
bier127.tsp,NearestNeighbour,NodeShift,127834.10,132241.46,136793.93
bier127.tsp,SemiGreedyNearestNeighbour,---,199901.21,224384.35,255636.96
bier127.tsp,SemiGreedyNearestNeighbour,TwoOpt,126185.62,132512.35,140483.99
bier127.tsp,SemiGreedyNearestNeighbour,NodeSwap,147986.44,156759.94,163069.07
bier127.tsp,SemiGreedyNearestNeighbour,NodeShift,138138.73,147252.00,156147.18
bier127.tsp,CheapestInsertion,---,138974.35,140175.50,141366.74
bier127.tsp,CheapestInsertion,TwoOpt,131198.97,135106.17,136779.71
bier127.tsp,CheapestInsertion,NodeSwap,134334.70,137290.05,138980.78
bier127.tsp,CheapestInsertion,NodeShift,131348.85,132926.24,134581.28
bier127.tsp,SemiGreedyCheapestInsertion,---,148787.21,154878.69,162630.85
bier127.tsp,SemiGreedyCheapestInsertion,TwoOpt,125501.25,130914.09,135663.18
bier127.tsp,SemiGreedyCheapestInsertion,NodeSwap,137196.37,139818.93,144320.49
bier127.tsp,SemiGreedyCheapestInsertion,NodeShift,130316.58,135789.39,139729.92
bier127.tsp,SemiGreedyRandomInsertion,---,166708.32,176779.93,186514.70
bier127.tsp,SemiGreedyRandomInsertion,TwoOpt,126684.20,131795.06,140231.85
bier127.tsp,SemiGreedyRandomInsertion,NodeSwap,138095.36,147300.80,152995.02
bier127.tsp,SemiGreedyRandomInsertion,NodeShift,132457.24,136082.23,141867.41
bier127.tsp,MSTSimple,---,155152.04,157842.06,158889.75
bier127.tsp,MSTSimple,TwoOpt,122464.68,127525.81,132380.37
bier127.tsp,MSTSimple,NodeSwap,145029.27,146838.02,149312.11
bier127.tsp,MSTSimple,NodeShift,134447.55,139952.51,144561.93
ch130.tsp,NearestNeighbour,---,7362.42,7876.48,8524.39
ch130.tsp,NearestNeighbour,TwoOpt,6383.24,6537.57,6679.75
ch130.tsp,NearestNeighbour,NodeSwap,7349.55,7613.99,8079.43
ch130.tsp,NearestNeighbour,NodeShift,6771.70,7134.10,7666.14
ch130.tsp,SemiGreedyNearestNeighbour,---,11969.95,12916.57,13793.87
ch130.tsp,SemiGreedyNearestNeighbour,TwoOpt,6440.10,6774.30,7060.11
ch130.tsp,SemiGreedyNearestNeighbour,NodeSwap,8203.39,8504.59,8998.88
ch130.tsp,SemiGreedyNearestNeighbour,NodeShift,7194.82,7844.51,8494.19
ch130.tsp,CheapestInsertion,---,7026.66,7195.50,7305.53
ch130.tsp,CheapestInsertion,TwoOpt,6593.54,6681.70,6888.86
ch130.tsp,CheapestInsertion,NodeSwap,6702.55,6855.79,7035.79
ch130.tsp,CheapestInsertion,NodeShift,6582.17,6661.60,6727.68
ch130.tsp,SemiGreedyCheapestInsertion,---,7406.21,7723.28,7960.68
ch130.tsp,SemiGreedyCheapestInsertion,TwoOpt,6605.39,6730.62,6999.11
ch130.tsp,SemiGreedyCheapestInsertion,NodeSwap,6754.15,7028.00,7264.25
ch130.tsp,SemiGreedyCheapestInsertion,NodeShift,6582.45,6833.37,7026.95
ch130.tsp,SemiGreedyRandomInsertion,---,8693.47,9556.95,9873.72
ch130.tsp,SemiGreedyRandomInsertion,TwoOpt,6416.69,6756.07,6946.65
ch130.tsp,SemiGreedyRandomInsertion,NodeSwap,7493.13,7864.48,8302.28
ch130.tsp,SemiGreedyRandomInsertion,NodeShift,6767.31,7045.09,7276.94
ch130.tsp,MSTSimple,---,7803.65,8057.88,8222.79
ch130.tsp,MSTSimple,TwoOpt,6512.36,6641.65,6737.47
ch130.tsp,MSTSimple,NodeSwap,7265.73,7501.04,7616.24
ch130.tsp,MSTSimple,NodeShift,6901.44,7061.15,7199.66
ch150.tsp,NearestNeighbour,---,7517.50,7726.19,8250.04
ch150.tsp,NearestNeighbour,TwoOpt,6695.31,6799.19,6939.43
ch150.tsp,NearestNeighbour,NodeSwap,7224.52,7504.83,7818.68
ch150.tsp,NearestNeighbour,NodeShift,6905.23,7083.11,7366.63
ch150.tsp,SemiGreedyNearestNeighbour,---,12112.09,13156.93,13985.32
ch150.tsp,SemiGreedyNearestNeighbour,TwoOpt,6898.36,7165.67,7676.96
ch150.tsp,SemiGreedyNearestNeighbour,NodeSwap,8436.50,8999.94,9566.78
ch150.tsp,SemiGreedyNearestNeighbour,NodeShift,7821.91,8237.86,8733.09
ch150.tsp,CheapestInsertion,---,7770.17,8043.60,8269.95
ch150.tsp,CheapestInsertion,TwoOpt,7001.19,7194.22,7382.74
ch150.tsp,CheapestInsertion,NodeSwap,7467.76,7709.62,8080.18
ch150.tsp,CheapestInsertion,NodeShift,6961.33,7056.97,7159.04
ch150.tsp,SemiGreedyCheapestInsertion,---,8293.83,8697.35,9022.32
ch150.tsp,SemiGreedyCheapestInsertion,TwoOpt,6943.26,7300.26,7523.46
ch150.tsp,SemiGreedyCheapestInsertion,NodeSwap,7166.18,7660.29,7979.67
ch150.tsp,SemiGreedyCheapestInsertion,NodeShift,7070.19,7268.06,7658.04
ch150.tsp,SemiGreedyRandomInsertion,---,10135.77,10458.23,11135.99
ch150.tsp,SemiGreedyRandomInsertion,TwoOpt,7053.97,7342.88,7549.69
ch150.tsp,SemiGreedyRandomInsertion,NodeSwap,8281.31,8536.07,8907.74
ch150.tsp,SemiGreedyRandomInsertion,NodeShift,7470.23,7713.62,8173.24
ch150.tsp,MSTSimple,---,8378.86,8544.97,8668.83
ch150.tsp,MSTSimple,TwoOpt,6837.79,6920.57,6984.38
ch150.tsp,MSTSimple,NodeSwap,7722.41,7819.01,8038.39
ch150.tsp,MSTSimple,NodeShift,7185.09,7445.27,7614.41
eil101.tsp,NearestNeighbour,---,746.36,787.82,825.24
eil101.tsp,NearestNeighbour,TwoOpt,671.55,681.32,688.71
eil101.tsp,NearestNeighbour,NodeSwap,711.23,745.83,767.41
eil101.tsp,NearestNeighbour,NodeShift,690.40,711.49,754.04
eil101.tsp,SemiGreedyNearestNeighbour,---,1095.45,1170.53,1295.21
eil101.tsp,SemiGreedyNearestNeighbour,TwoOpt,686.13,702.25,720.19
eil101.tsp,SemiGreedyNearestNeighbour,NodeSwap,755.53,811.11,869.50
eil101.tsp,SemiGreedyNearestNeighbour,NodeShift,716.60,763.43,802.34
eil101.tsp,CheapestInsertion,---,720.44,731.11,742.37
eil101.tsp,CheapestInsertion,TwoOpt,689.39,702.66,715.50
eil101.tsp,CheapestInsertion,NodeSwap,695.42,710.22,730.14
eil101.tsp,CheapestInsertion,NodeShift,660.51,676.30,687.04
eil101.tsp,SemiGreedyCheapestInsertion,---,749.37,760.92,772.68
eil101.tsp,SemiGreedyCheapestInsertion,TwoOpt,671.46,684.75,699.36
eil101.tsp,SemiGreedyCheapestInsertion,NodeSwap,685.44,711.54,729.73
eil101.tsp,SemiGreedyCheapestInsertion,NodeShift,666.49,685.40,708.19
eil101.tsp,SemiGreedyRandomInsertion,---,884.61,913.11,952.39
eil101.tsp,SemiGreedyRandomInsertion,TwoOpt,691.66,702.17,718.33
eil101.tsp,SemiGreedyRandomInsertion,NodeSwap,739.47,772.40,792.32
eil101.tsp,SemiGreedyRandomInsertion,NodeShift,697.57,712.71,727.67
eil101.tsp,MSTSimple,---,825.17,840.21,868.96
eil101.tsp,MSTSimple,TwoOpt,666.90,678.83,686.33
eil101.tsp,MSTSimple,NodeSwap,732.99,749.63,765.87
eil101.tsp,MSTSimple,NodeShift,709.21,732.53,745.88
eil51.tsp,NearestNeighbour,---,508.00,556.37,611.57
eil51.tsp,NearestNeighbour,TwoOpt,438.04,448.79,468.42
eil51.tsp,NearestNeighbour,NodeSwap,490.31,512.39,525.12
eil51.tsp,NearestNeighbour,NodeShift,460.35,475.76,500.93
eil51.tsp,SemiGreedyNearestNeighbour,---,714.09,767.06,851.51
eil51.tsp,SemiGreedyNearestNeighbour,TwoOpt,436.64,455.53,482.63
eil51.tsp,SemiGreedyNearestNeighbour,NodeSwap,482.15,520.70,590.95
eil51.tsp,SemiGreedyNearestNeighbour,NodeShift,448.44,482.30,536.28
eil51.tsp,CheapestInsertion,---,474.00,488.94,496.25
eil51.tsp,CheapestInsertion,TwoOpt,445.31,457.81,472.98
eil51.tsp,CheapestInsertion,NodeSwap,458.53,469.81,481.30
eil51.tsp,CheapestInsertion,NodeShift,435.39,446.47,458.97
eil51.tsp,SemiGreedyCheapestInsertion,---,501.79,513.62,525.90
eil51.tsp,SemiGreedyCheapestInsertion,TwoOpt,445.77,461.66,498.37
eil51.tsp,SemiGreedyCheapestInsertion,NodeSwap,451.41,477.20,496.36
eil51.tsp,SemiGreedyCheapestInsertion,NodeShift,439.52,452.19,471.76
eil51.tsp,SemiGreedyRandomInsertion,---,607.99,637.24,670.40
eil51.tsp,SemiGreedyRandomInsertion,TwoOpt,441.80,458.40,481.98
eil51.tsp,SemiGreedyRandomInsertion,NodeSwap,493.69,505.67,528.04
eil51.tsp,SemiGreedyRandomInsertion,NodeShift,447.13,462.01,493.05
eil51.tsp,MSTSimple,---,599.33,628.77,652.05
eil51.tsp,MSTSimple,TwoOpt,436.74,451.60,470.36
eil51.tsp,MSTSimple,NodeSwap,511.12,540.69,563.93
eil51.tsp,MSTSimple,NodeShift,480.23,493.88,507.99
eil76.tsp,NearestNeighbour,---,623.59,667.20,728.97
eil76.tsp,NearestNeighbour,TwoOpt,570.14,578.65,596.44
eil76.tsp,NearestNeighbour,NodeSwap,586.70,624.49,655.88
eil76.tsp,NearestNeighbour,NodeShift,571.08,589.48,622.96
eil76.tsp,SemiGreedyNearestNeighbour,---,904.78,980.99,1046.26
eil76.tsp,SemiGreedyNearestNeighbour,TwoOpt,573.20,588.36,608.71
eil76.tsp,SemiGreedyNearestNeighbour,NodeSwap,650.31,687.63,718.35
eil76.tsp,SemiGreedyNearestNeighbour,NodeShift,585.78,619.04,645.44
eil76.tsp,CheapestInsertion,---,605.01,616.81,625.18
eil76.tsp,CheapestInsertion,TwoOpt,577.25,590.28,599.92
eil76.tsp,CheapestInsertion,NodeSwap,587.96,599.37,614.71
eil76.tsp,CheapestInsertion,NodeShift,566.48,578.80,587.91
eil76.tsp,SemiGreedyCheapestInsertion,---,622.69,652.13,676.37
eil76.tsp,SemiGreedyCheapestInsertion,TwoOpt,571.53,590.93,611.42
eil76.tsp,SemiGreedyCheapestInsertion,NodeSwap,591.62,608.12,620.49
eil76.tsp,SemiGreedyCheapestInsertion,NodeShift,569.78,587.20,607.90
eil76.tsp,SemiGreedyRandomInsertion,---,740.73,793.69,832.86
eil76.tsp,SemiGreedyRandomInsertion,TwoOpt,576.76,594.84,602.35
eil76.tsp,SemiGreedyRandomInsertion,NodeSwap,632.16,662.66,679.64
eil76.tsp,SemiGreedyRandomInsertion,NodeShift,581.42,601.67,629.12
eil76.tsp,MSTSimple,---,672.72,691.63,708.82
eil76.tsp,MSTSimple,TwoOpt,582.05,589.50,593.93
eil76.tsp,MSTSimple,NodeSwap,608.19,618.84,626.13
eil76.tsp,MSTSimple,NodeShift,590.88,603.89,622.12
kroA100.tsp,NearestNeighbour,---,25879.82,27210.07,28568.72
kroA100.tsp,NearestNeighbour,TwoOpt,22030.48,22804.70,23514.47
kroA100.tsp,NearestNeighbour,NodeSwap,23145.73,24412.94,25548.21
kroA100.tsp,NearestNeighbour,NodeShift,23403.80,24411.15,25140.11
kroA100.tsp,SemiGreedyNearestNeighbour,---,40992.76,45307.09,48005.77
kroA100.tsp,SemiGreedyNearestNeighbour,TwoOpt,22355.92,23442.43,25022.82
kroA100.tsp,SemiGreedyNearestNeighbour,NodeSwap,27061.55,29904.04,32152.84
kroA100.tsp,SemiGreedyNearestNeighbour,NodeShift,25551.50,27308.79,30752.11
kroA100.tsp,CheapestInsertion,---,24306.73,24793.42,25303.89
kroA100.tsp,CheapestInsertion,TwoOpt,22728.41,23424.91,23946.77
kroA100.tsp,CheapestInsertion,NodeSwap,23088.70,23720.13,24113.15
kroA100.tsp,CheapestInsertion,NodeShift,22142.88,22933.13,23635.45
kroA100.tsp,SemiGreedyCheapestInsertion,---,26756.96,28461.70,29496.30
kroA100.tsp,SemiGreedyCheapestInsertion,TwoOpt,22398.71,23740.55,24676.12
kroA100.tsp,SemiGreedyCheapestInsertion,NodeSwap,23935.02,24985.37,26063.98
kroA100.tsp,SemiGreedyCheapestInsertion,NodeShift,22434.24,24304.70,26010.32
kroA100.tsp,SemiGreedyRandomInsertion,---,32435.23,34469.68,35886.27
kroA100.tsp,SemiGreedyRandomInsertion,TwoOpt,22073.30,23040.33,24622.32
kroA100.tsp,SemiGreedyRandomInsertion,NodeSwap,25446.91,27412.23,29192.96
kroA100.tsp,SemiGreedyRandomInsertion,NodeShift,23588.35,24828.68,25889.84
kroA100.tsp,MSTSimple,---,27217.10,27575.91,27944.47
kroA100.tsp,MSTSimple,TwoOpt,22500.70,23084.63,23567.26
kroA100.tsp,MSTSimple,NodeSwap,24821.49,25220.87,25690.46
kroA100.tsp,MSTSimple,NodeShift,24212.57,24663.96,25003.04
kroB100.tsp,NearestNeighbour,---,26020.80,28434.43,30143.70
kroB100.tsp,NearestNeighbour,TwoOpt,22774.42,23454.89,24799.57
kroB100.tsp,NearestNeighbour,NodeSwap,25438.34,26805.64,28594.19
kroB100.tsp,NearestNeighbour,NodeShift,24286.76,25423.36,26318.27
kroB100.tsp,SemiGreedyNearestNeighbour,---,39557.11,46017.17,52199.56
kroB100.tsp,SemiGreedyNearestNeighbour,TwoOpt,23779.02,24851.61,25505.17
kroB100.tsp,SemiGreedyNearestNeighbour,NodeSwap,27330.19,29852.32,32167.41
kroB100.tsp,SemiGreedyNearestNeighbour,NodeShift,26375.20,27807.57,30160.41
kroB100.tsp,CheapestInsertion,---,24777.03,25414.83,26065.49
kroB100.tsp,CheapestInsertion,TwoOpt,23404.57,24008.31,24622.12
kroB100.tsp,CheapestInsertion,NodeSwap,24180.42,24575.39,25430.67
kroB100.tsp,CheapestInsertion,NodeShift,23726.86,24161.67,24413.02
kroB100.tsp,SemiGreedyCheapestInsertion,---,27008.07,28809.85,30500.75
kroB100.tsp,SemiGreedyCheapestInsertion,TwoOpt,23252.99,24089.52,24686.02
kroB100.tsp,SemiGreedyCheapestInsertion,NodeSwap,24896.92,25533.87,26205.79
kroB100.tsp,SemiGreedyCheapestInsertion,NodeShift,23141.18,24441.41,24932.46
kroB100.tsp,SemiGreedyRandomInsertion,---,32974.29,34779.12,36761.73
kroB100.tsp,SemiGreedyRandomInsertion,TwoOpt,23034.33,24025.96,24898.52
kroB100.tsp,SemiGreedyRandomInsertion,NodeSwap,27304.50,28611.61,29835.96
kroB100.tsp,SemiGreedyRandomInsertion,NodeShift,23883.48,26015.54,28260.92
kroB100.tsp,MSTSimple,---,25616.91,26280.42,26820.59
kroB100.tsp,MSTSimple,TwoOpt,22886.97,23313.74,23693.50
kroB100.tsp,MSTSimple,NodeSwap,24096.14,25125.85,25694.39
kroB100.tsp,MSTSimple,NodeShift,23303.81,23766.64,24205.88
kroC100.tsp,NearestNeighbour,---,23566.40,26293.23,28071.67
kroC100.tsp,NearestNeighbour,TwoOpt,21697.82,22306.94,23018.28
kroC100.tsp,NearestNeighbour,NodeSwap,23164.50,25636.54,28284.07
kroC100.tsp,NearestNeighbour,NodeShift,22005.19,23929.90,25372.35
kroC100.tsp,SemiGreedyNearestNeighbour,---,40888.56,45731.74,48812.53
kroC100.tsp,SemiGreedyNearestNeighbour,TwoOpt,21571.71,22907.45,24031.83
kroC100.tsp,SemiGreedyNearestNeighbour,NodeSwap,24921.92,28278.73,30959.68
kroC100.tsp,SemiGreedyNearestNeighbour,NodeShift,24023.58,26043.97,28508.15
kroC100.tsp,CheapestInsertion,---,25116.14,25373.67,25528.11
kroC100.tsp,CheapestInsertion,TwoOpt,23884.22,24054.32,24341.71
kroC100.tsp,CheapestInsertion,NodeSwap,24447.57,24675.16,25014.81
kroC100.tsp,CheapestInsertion,NodeShift,22911.46,23223.11,23923.74
kroC100.tsp,SemiGreedyCheapestInsertion,---,26306.27,27637.58,28485.45
kroC100.tsp,SemiGreedyCheapestInsertion,TwoOpt,22409.47,23571.14,24546.17
kroC100.tsp,SemiGreedyCheapestInsertion,NodeSwap,24251.96,25000.61,25944.15
kroC100.tsp,SemiGreedyCheapestInsertion,NodeShift,23294.05,23881.78,24695.88
kroC100.tsp,SemiGreedyRandomInsertion,---,33252.47,34581.29,35177.11
kroC100.tsp,SemiGreedyRandomInsertion,TwoOpt,21498.64,22936.72,24175.44
kroC100.tsp,SemiGreedyRandomInsertion,NodeSwap,25408.95,27211.17,28680.53
kroC100.tsp,SemiGreedyRandomInsertion,NodeShift,23421.45,25036.17,26990.20
kroC100.tsp,MSTSimple,---,27510.81,28113.10,29099.23
