FirstPlayerHeuristic,FirstPlayerDepth,SecondPlayerHeuristic,SecondPlayerDepth,WinningPlayer,WinningHeuristic,WinningDepth
1,6,1,6,1,1,6
1,6,1,7,2,1,7
1,6,1,8,0,-1,-1
1,6,1,9,1,1,6
1,6,1,10,1,1,6
1,6,2,6,0,-1,-1
1,6,2,7,2,2,7
1,6,2,8,2,2,8
1,6,2,9,1,1,6
1,6,2,10,1,1,6
1,6,3,6,2,3,6
1,6,3,7,2,3,7
1,6,3,8,2,3,8
1,6,3,9,1,1,6
1,6,3,10,0,-1,-1
1,6,4,6,2,4,6
1,6,4,7,2,4,7
1,6,4,8,1,1,6
1,6,4,9,1,1,6
1,6,4,10,1,1,6
1,7,1,6,1,1,7
1,7,1,7,1,1,7
1,7,1,8,1,1,7
1,7,1,9,1,1,7
1,7,1,10,1,1,7
1,7,2,6,1,1,7
1,7,2,7,1,1,7
1,7,2,8,1,1,7
1,7,2,9,1,1,7
1,7,2,10,1,1,7
1,7,3,6,1,1,7
1,7,3,7,1,1,7
1,7,3,8,1,1,7
1,7,3,9,1,1,7
1,7,3,10,0,-1,-1
1,7,4,6,1,1,7
1,7,4,7,1,1,7
1,7,4,8,1,1,7
1,7,4,9,1,1,7
1,7,4,10,1,1,7
1,8,1,6,1,1,8
1,8,1,7,1,1,8
1,8,1,8,1,1,8
1,8,1,9,0,-1,-1
1,8,1,10,1,1,8
1,8,2,6,1,1,8
1,8,2,7,1,1,8
1,8,2,8,1,1,8
1,8,2,9,1,1,8
1,8,2,10,2,2,10
1,8,3,6,1,1,8
1,8,3,7,1,1,8
1,8,3,8,1,1,8
1,8,3,9,1,1,8
1,8,3,10,1,1,8
1,8,4,6,1,1,8
1,8,4,7,1,1,8
1,8,4,8,1,1,8
1,8,4,9,1,1,8
1,8,4,10,1,1,8
1,9,1,6,1,1,9
1,9,1,7,1,1,9
1,9,1,8,1,1,9
1,9,1,9,1,1,9
1,9,1,10,0,-1,-1
1,9,2,6,1,1,9
1,9,2,7,1,1,9
1,9,2,8,1,1,9
1,9,2,9,1,1,9
1,9,2,10,1,1,9
1,9,3,6,1,1,9
1,9,3,7,1,1,9
1,9,3,8,1,1,9
1,9,3,9,1,1,9
1,9,3,10,0,-1,-1
1,9,4,6,1,1,9
1,9,4,7,1,1,9
1,9,4,8,1,1,9
1,9,4,9,1,1,9
1,9,4,10,0,-1,-1
1,10,1,6,1,1,10
1,10,1,7,1,1,10
1,10,1,8,1,1,10
1,10,1,9,1,1,10
1,10,1,10,1,1,10
1,10,2,6,1,1,10
1,10,2,7,1,1,10
1,10,2,8,1,1,10
1,10,2,9,1,1,10
1,10,2,10,2,2,10
1,10,3,6,1,1,10
1,10,3,7,1,1,10
1,10,3,8,1,1,10
1,10,3,9,1,1,10
1,10,3,10,1,1,10
1,10,4,6,1,1,10
1,10,4,7,1,1,10
1,10,4,8,1,1,10
1,10,4,9,1,1,10
1,10,4,10,1,1,10
2,6,1,6,2,1,6
