problem_name,constructive_heuristic,perturbative_heuristic,best_cost,average_cost,worst_cost
bier127.tsp,SemiGreedyRandomInsertion,NodeShift,133335.45,137245.24,143514.82
bier127.tsp,MSTSimple,---,155797.79,157795.06,159246.21
bier127.tsp,MSTSimple,TwoOpt,125908.95,128021.62,132091.21
bier127.tsp,MSTSimple,NodeSwap,142462.77,146686.90,148544.27
bier127.tsp,MSTSimple,NodeShift,137446.53,139983.91,144363.59
ch130.tsp,NearestNeighbour,---,7304.52,7628.63,8078.18
ch130.tsp,NearestNeighbour,TwoOpt,6424.25,6581.08,6755.63
ch130.tsp,NearestNeighbour,NodeSwap,7220.12,7663.75,8396.35
ch130.tsp,NearestNeighbour,NodeShift,6782.95,7140.63,7667.89
ch130.tsp,SemiGreedyNearestNeighbour,---,11578.84,12458.61,13572.76
ch130.tsp,SemiGreedyNearestNeighbour,TwoOpt,6495.35,6805.19,7125.13
ch130.tsp,SemiGreedyNearestNeighbour,NodeSwap,7784.42,8445.84,9295.35
ch130.tsp,SemiGreedyNearestNeighbour,NodeShift,7167.38,7771.43,8219.05
ch130.tsp,CheapestInsertion,---,7026.66,7149.78,7322.99
ch130.tsp,CheapestInsertion,TwoOpt,6499.01,6697.25,6815.85
ch130.tsp,CheapestInsertion,NodeSwap,6749.57,6851.07,7057.15
ch130.tsp,CheapestInsertion,NodeShift,6364.92,6642.18,6845.54
ch130.tsp,SemiGreedyCheapestInsertion,---,7391.17,7805.96,8413.58
ch130.tsp,SemiGreedyCheapestInsertion,TwoOpt,6327.65,6705.57,6878.35
ch130.tsp,SemiGreedyCheapestInsertion,NodeSwap,6848.11,7116.91,7525.10
ch130.tsp,SemiGreedyCheapestInsertion,NodeShift,6643.91,6852.84,7154.00
ch130.tsp,SemiGreedyRandomInsertion,---,8963.63,9569.28,9965.27
ch130.tsp,SemiGreedyRandomInsertion,TwoOpt,6444.46,6644.20,6897.80
ch130.tsp,SemiGreedyRandomInsertion,NodeSwap,7574.53,7829.53,8119.58
ch130.tsp,SemiGreedyRandomInsertion,NodeShift,6778.47,7167.82,7636.45
ch130.tsp,MSTSimple,---,7732.88,7997.00,8227.77
ch130.tsp,MSTSimple,TwoOpt,6369.92,6638.58,6768.41
ch130.tsp,MSTSimple,NodeSwap,7249.10,7476.07,7643.76
ch130.tsp,MSTSimple,NodeShift,6898.35,7135.91,7262.45
ch150.tsp,NearestNeighbour,---,7078.44,7780.53,8451.16
ch150.tsp,NearestNeighbour,TwoOpt,6759.80,6892.95,7122.66
ch150.tsp,NearestNeighbour,NodeSwap,6962.56,7530.50,7976.12
ch150.tsp,NearestNeighbour,NodeShift,6887.17,7201.95,7379.16
ch150.tsp,SemiGreedyNearestNeighbour,---,12440.50,13290.65,14072.42
ch150.tsp,SemiGreedyNearestNeighbour,TwoOpt,7025.58,7287.06,7503.66
ch150.tsp,SemiGreedyNearestNeighbour,NodeSwap,8235.14,9004.26,9548.16
ch150.tsp,SemiGreedyNearestNeighbour,NodeShift,7615.49,8327.91,8956.15
ch150.tsp,CheapestInsertion,---,7687.93,7871.06,7996.00
ch150.tsp,CheapestInsertion,TwoOpt,7034.99,7158.84,7366.69
ch150.tsp,CheapestInsertion,NodeSwap,7467.07,7606.83,7718.50
ch150.tsp,CheapestInsertion,NodeShift,6847.55,6989.69,7115.81
ch150.tsp,SemiGreedyCheapestInsertion,---,8055.88,8581.44,9123.42
ch150.tsp,SemiGreedyCheapestInsertion,TwoOpt,7089.61,7272.23,7697.04
ch150.tsp,SemiGreedyCheapestInsertion,NodeSwap,7137.46,7688.57,8073.04
